iter	Passed	Remaining
1110	17526	1404
1111	17544	1388
1112	17560	1372
1113	17578	1357
1114	17593	1341
1115	17609	1325
1116	17626	1309
1117	17641	1293
1118	17656	1278
1119	17672	1262
1120	17687	1246
1121	17703	1230
1122	17718	1214
1123	17734	1199
1124	17751	1183
1125	17772	1167
1126	17791	1152
1127	17807	1136
1128	17823	1120
1129	17838	1105
1130	17857	1089
1131	17875	1073
1132	17892	1058
1133	17909	1042
1134	17927	1026
1135	17950	1011
1136	17970	995
1137	17991	980
1138	18008	964
1139	18022	948
1140	18041	932
1141	18060	917
1142	18077	901
1143	18092	885
1144	18108	869
1145	18124	854
1146	18140	838
1147	18155	822
1148	18172	806
1149	18187	790
1150	18202	774
1151	18218	759
1152	18234	743
1153	18251	727
1154	18268	711
1155	18281	695
1156	18296	679
1157	18311	664
1158	18327	648
1159	18342	632
1160	18358	616
1161	18377	600
1162	18392	585
1163	18409	569
1164	18423	553
1165	18439	537
1166	18454	521
1167	18469	506
1168	18484	490
1169	18498	474
1170	18512	458
1171	18525	442
1172	18539	426
1173	18555	410
1174	18570	395
1175	18585	379
1176	18599	363
1177	18615	347
1178	18628	331
1179	18642	315
1180	18658	300
1181	18672	284
1182	18685	268
1183	18701	252
1184	18714	236
1185	18729	221
1186	18744	205
1187	18757	189
1188	18771	173
1189	18788	157
1190	18808	142
1191	18824	126
1192	18839	110
1193	18856	94
1194	18871	78
1195	18886	63
1196	18900	47
1197	18914	31
1198	18928	15
1199	18942	0
